Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Via Sacco Pescara (PE),Accettabile,n.d.,--,44,--,--,114,110,--,--,2021-05-20
Via Sacco Pescara (PE),Accettabile,11,--,49,--,--,114,105,--,--,2021-05-19
Via Sacco Pescara (PE),Accettabile,8,--,23,--,--,91,88,--,--,2021-05-18
Via Sacco Pescara (PE),Accettabile,9,--,20,--,--,102,98,--,--,2021-05-17
Via Sacco Pescara (PE),Accettabile,10,--,24,--,--,108,101,--,--,2021-05-16
Via Sacco Pescara (PE),Accettabile,18,--,24,--,--,100,96,--,--,2021-05-15
Via Sacco Pescara (PE),Accettabile,4,--,30,--,--,114,111,--,--,2021-05-14
Via Sacco Pescara (PE),Accettabile,17,--,45,--,--,118,113,--,--,2021-05-13
Via Sacco Pescara (PE),Mediocre,15,--,46,--,--,126,119,--,--,2021-05-12
Via Sacco Pescara (PE),Accettabile,8,--,32,--,--,110,107,--,--,2021-05-11
Via Sacco Pescara (PE),Accettabile,12,--,39,--,--,103,97,--,--,2021-05-10
Via Sacco Pescara (PE),Accettabile,16,--,28,--,--,103,97,--,--,2021-05-09
Via Sacco Pescara (PE),Accettabile,13,--,46,--,--,115,111,--,--,2021-05-08
Via Sacco Pescara (PE),Accettabile,12,--,44,--,--,112,110,--,--,2021-05-07
Via Sacco Pescara (PE),Accettabile,16,--,39,--,--,110,103,--,--,2021-05-06
Via Sacco Pescara (PE),Accettabile,11,--,56,--,--,115,108,--,--,2021-05-05
Via Sacco Pescara (PE),Accettabile,17,--,33,--,--,104,99,--,--,2021-05-04
Via Sacco Pescara (PE),Accettabile,24,--,21,--,--,90,83,--,--,2021-05-03
Via Sacco Pescara (PE),Accettabile,21,--,45,--,--,104,97,--,--,2021-05-02
Via Sacco Pescara (PE),Accettabile,25,--,71,--,--,84,78,--,--,2021-05-01
Via Sacco Pescara (PE),Accettabile,14,--,30,--,--,89,85,--,--,2021-04-30
Via Sacco Pescara (PE),Accettabile,23,--,41,--,--,107,103,--,--,2021-04-29
Via Sacco Pescara (PE),Accettabile,24,--,49,--,--,117,109,--,--,2021-04-28
Via Sacco Pescara (PE),Accettabile,18,--,63,--,--,119,112,--,--,2021-04-27
Via Sacco Pescara (PE),Accettabile,22,--,87,--,--,108,104,--,--,2021-04-26
Via Sacco Pescara (PE),Accettabile,22,--,58,--,--,112,108,--,--,2021-04-25
Via Sacco Pescara (PE),Accettabile,23,--,73,--,--,112,107,--,--,2021-04-24
Via Sacco Pescara (PE),Accettabile,18,--,47,--,--,108,85,--,--,2021-04-23
Via Sacco Pescara (PE),Accettabile,15,--,77,--,--,102,99,--,--,2021-04-22
Via Sacco Pescara (PE),Accettabile,16,--,40,--,--,99,92,--,--,2021-04-21
Via Sacco Pescara (PE),Accettabile,18,--,23,--,--,100,97,--,--,2021-04-20
Via Sacco Pescara (PE),Accettabile,15,--,44,--,--,106,104,--,--,2021-04-19
Via Sacco Pescara (PE),Accettabile,14,--,57,--,--,104,100,--,--,2021-04-18
Via Sacco Pescara (PE),Accettabile,12,--,42,--,--,97,95,--,--,2021-04-17
Via Sacco Pescara (PE),Accettabile,9,--,31,--,--,99,95,--,--,2021-04-16
Via Sacco Pescara (PE),Accettabile,12,--,26,--,--,93,77,--,--,2021-04-15
Via Sacco Pescara (PE),Accettabile,29,--,60,--,--,99,79,--,--,2021-04-14
Via Sacco Pescara (PE),Accettabile,29,--,66,--,--,108,101,--,--,2021-04-13
Via Sacco Pescara (PE),Accettabile,20,--,41,--,--,112,108,--,--,2021-04-12
Via Sacco Pescara (PE),Accettabile,19,--,59,--,--,107,103,--,--,2021-04-11
Via Sacco Pescara (PE),Accettabile,19,--,57,--,--,101,97,--,--,2021-04-10
Via Sacco Pescara (PE),Accettabile,12,--,20,--,--,89,83,--,--,2021-04-09
Via Sacco Pescara (PE),Accettabile,13,--,47,--,--,93,88,--,--,2021-04-08
Via Sacco Pescara (PE),Accettabile,10,--,21,--,--,96,94,--,--,2021-04-07
Via Sacco Pescara (PE),Accettabile,10,--,11,--,--,95,94,--,--,2021-04-06
Via Sacco Pescara (PE),Accettabile,13,--,34,--,--,106,90,--,--,2021-04-05
Via Sacco Pescara (PE),Accettabile,21,--,85,--,--,118,104,--,--,2021-04-04
Via Sacco Pescara (PE),Accettabile,18,--,76,--,--,96,80,--,--,2021-04-03
Via Sacco Pescara (PE),Mediocre,28,--,93,--,--,121,117,--,--,2021-04-02
Via Sacco Pescara (PE),Accettabile,33,--,84,--,--,120,114,--,--,2021-04-01
Via Sacco Pescara (PE),Accettabile,24,--,80,--,--,107,95,--,--,2021-03-31
Via Sacco Pescara (PE),Accettabile,33,--,38,--,--,107,103,--,--,2021-03-30
Via Sacco Pescara (PE),Accettabile,33,--,73,--,--,102,93,--,--,2021-03-29
Via Sacco Pescara (PE),Accettabile,22,--,80,--,--,102,94,--,--,2021-03-28
Via Sacco Pescara (PE),Accettabile,22,--,81,--,--,103,96,--,--,2021-03-27
Via Sacco Pescara (PE),Accettabile,21,--,73,--,--,89,86,--,--,2021-03-26
Via Sacco Pescara (PE),Accettabile,28,--,35,--,--,95,90,--,--,2021-03-25
Via Sacco Pescara (PE),Accettabile,20,--,26,--,--,89,86,--,--,2021-03-24
Via Sacco Pescara (PE),Accettabile,20,--,16,--,--,92,88,--,--,2021-03-23
Via Sacco Pescara (PE),Accettabile,23,--,48,--,--,89,80,--,--,2021-03-22
Via Sacco Pescara (PE),Accettabile,19,--,75,--,--,89,86,--,--,2021-03-21
Via Sacco Pescara (PE),Accettabile,17,--,44,--,--,83,79,--,--,2021-03-20
Via Sacco Pescara (PE),Accettabile,19,--,74,--,--,87,81,--,--,2021-03-19
Via Sacco Pescara (PE),Accettabile,16,--,53,--,--,83,77,--,--,2021-03-18
Via Sacco Pescara (PE),Accettabile,13,--,81,--,--,87,81,--,--,2021-03-17
Via Sacco Pescara (PE),Accettabile,15,--,14,--,--,93,88,--,--,2021-03-16
Via Sacco Pescara (PE),Accettabile,20,--,54,--,--,95,87,--,--,2021-03-15
Via Sacco Pescara (PE),Accettabile,14,--,66,--,--,87,83,--,--,2021-03-14
Via Sacco Pescara (PE),Accettabile,21,--,58,--,--,90,89,--,--,2021-03-13
Via Sacco Pescara (PE),Accettabile,21,--,60,--,--,89,85,--,--,2021-03-12
Via Sacco Pescara (PE),Accettabile,12,--,47,--,--,60,42,--,--,2021-03-11
Via Sacco Pescara (PE),Mediocre,36,--,63,--,--,50,60,--,--,2021-03-10
Via Sacco Pescara (PE),Accettabile,19,--,28,--,--,85,83,--,--,2021-03-09
Via Sacco Pescara (PE),Accettabile,35,--,68,--,--,79,68,--,--,2021-03-08
Via Sacco Pescara (PE),Mediocre,42,--,101,--,--,111,105,--,--,2021-03-07
Via Sacco Pescara (PE),Mediocre,43,--,89,--,--,109,95,--,--,2021-03-06
Via Sacco Pescara (PE),Mediocre,41,--,92,--,--,106,95,--,--,2021-03-05
Via Sacco Pescara (PE),Mediocre,36,--,90,--,--,93,84,--,--,2021-03-04
Via Sacco Pescara (PE),Accettabile,27,--,71,--,--,95,88,--,--,2021-03-03
Via Sacco Pescara (PE),Accettabile,30,--,39,--,--,85,81,--,--,2021-03-02
Via Sacco Pescara (PE),Scadente,70,--,47,--,--,112,96,--,--,2021-03-01
Via Sacco Pescara (PE),Scadente,83,--,101,--,--,91,79,--,--,2021-02-28
Via Sacco Pescara (PE),Scadente,75,--,101,--,--,94,79,--,--,2021-02-27
Via Sacco Pescara (PE),Scadente,76,--,91,--,--,90,78,--,--,2021-02-26
Via Sacco Pescara (PE),Mediocre,49,--,83,--,--,80,68,--,--,2021-02-25
Via Sacco Pescara (PE),Mediocre,36,--,52,--,--,80,76,--,--,2021-02-24
Via Sacco Pescara (PE),Accettabile,34,--,75,--,--,97,88,--,--,2021-02-23
Via Sacco Pescara (PE),Accettabile,32,--,72,--,--,97,82,--,--,2021-02-22
Via Sacco Pescara (PE),Mediocre,39,--,87,--,--,88,68,--,--,2021-02-21
Via Sacco Pescara (PE),Accettabile,31,--,80,--,--,84,69,--,--,2021-02-20
Via Sacco Pescara (PE),Accettabile,34,--,78,--,--,88,75,--,--,2021-02-19
Via Sacco Pescara (PE),Accettabile,27,--,94,--,--,90,73,--,--,2021-02-18
Via Sacco Pescara (PE),Accettabile,16,--,79,--,--,86,76,--,--,2021-02-17
Via Sacco Pescara (PE),Accettabile,23,--,17,--,--,86,82,--,--,2021-02-16
Via Sacco Pescara (PE),Buona,13,--,24,--,--,79,75,--,--,2021-02-15
Via Sacco Pescara (PE),Accettabile,17,--,19,--,--,81,78,--,--,2021-02-14
Via Sacco Pescara (PE),Accettabile,17,--,49,--,--,78,67,--,--,2021-02-13
Via Sacco Pescara (PE),Accettabile,9,--,50,--,--,85,82,--,--,2021-02-12
Via Sacco Pescara (PE),Accettabile,5,--,28,--,--,81,73,--,--,2021-02-11
Via Sacco Pescara (PE),Buona,10,--,20,--,--,79,74,--,--,2021-02-10
Via Sacco Pescara (PE),Accettabile,25,--,40,--,--,72,69,--,--,2021-02-09
Via Sacco Pescara (PE),Accettabile,34,--,38,--,--,78,72,--,--,2021-02-08
Via Sacco Pescara (PE),Accettabile,34,--,60,--,--,54,38,--,--,2021-02-07
Via Sacco Pescara (PE),Scadente,51,--,82,--,--,71,54,--,--,2021-02-06
Via Sacco Pescara (PE),Mediocre,42,--,80,--,--,76,61,--,--,2021-02-05
Via Sacco Pescara (PE),Accettabile,30,--,54,--,--,54,43,--,--,2021-02-04
Via Sacco Pescara (PE),Accettabile,16,--,66,--,--,62,54,--,--,2021-02-03
Via Sacco Pescara (PE),Buona,17,--,24,--,--,69,64,--,--,2021-02-02
Via Sacco Pescara (PE),Accettabile,25,--,66,--,--,71,61,--,--,2021-02-01
Via Sacco Pescara (PE),Mediocre,44,--,86,--,--,47,23,--,--,2021-01-31
Via Sacco Pescara (PE),Accettabile,33,--,94,--,--,80,68,--,--,2021-01-30
Via Sacco Pescara (PE),Accettabile,32,--,89,--,--,72,57,--,--,2021-01-29
Via Sacco Pescara (PE),Accettabile,19,--,70,--,--,73,70,--,--,2021-01-28
Via Sacco Pescara (PE),Accettabile,11,--,58,--,--,72,63,--,--,2021-01-27
Via Sacco Pescara (PE),Buona,6,--,19,--,--,79,79,--,--,2021-01-26
Via Sacco Pescara (PE),Accettabile,4,--,21,--,--,81,78,--,--,2021-01-25
Via Sacco Pescara (PE),Accettabile,23,--,54,--,--,79,74,--,--,2021-01-24
Via Sacco Pescara (PE),Accettabile,25,--,69,--,--,76,60,--,--,2021-01-23
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2021-01-22
Via Sacco Pescara (PE),Mediocre,46,--,n.d.,--,--,n.d.,n.d.,--,--,2021-01-21
Via Sacco Pescara (PE),Accettabile,28,--,87,--,--,58,44,--,--,2021-01-20
Via Sacco Pescara (PE),Mediocre,42,--,63,--,--,55,41,--,--,2021-01-19
Via Sacco Pescara (PE),Accettabile,20,--,49,--,--,63,58,--,--,2021-01-18
Via Sacco Pescara (PE),Accettabile,15,--,44,--,--,55,50,--,--,2021-01-17
Via Sacco Pescara (PE),Accettabile,32,--,84,--,--,54,43,--,--,2021-01-16
Via Sacco Pescara (PE),Mediocre,38,--,68,--,--,63,41,--,--,2021-01-15
Via Sacco Pescara (PE),Accettabile,22,--,81,--,--,53,45,--,--,2021-01-14
Via Sacco Pescara (PE),Accettabile,n.d.,--,47,--,--,48,47,--,--,2021-01-13
Via Sacco Pescara (PE),Buona,n.d.,--,23,--,--,50,46,--,--,2021-01-12
Via Sacco Pescara (PE),Buona,n.d.,--,38,--,--,36,29,--,--,2021-01-11
Via Sacco Pescara (PE),Accettabile,n.d.,--,52,--,--,45,35,--,--,2021-01-10
Via Sacco Pescara (PE),Accettabile,n.d.,--,69,--,--,47,34,--,--,2021-01-09
Via Sacco Pescara (PE),Accettabile,8,--,59,--,--,78,76,--,--,2021-01-08
Via Sacco Pescara (PE),Accettabile,22,--,n.d.,--,--,n.d.,n.d.,--,--,2021-01-07
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2021-01-06
Via Sacco Pescara (PE),Accettabile,18,--,67,--,--,77,75,--,--,2021-01-05
Via Sacco Pescara (PE),Accettabile,13,--,48,--,--,75,70,--,--,2021-01-04
Via Sacco Pescara (PE),Scadente,77,--,71,--,--,40,24,--,--,2021-01-03
Via Sacco Pescara (PE),Accettabile,33,--,68,--,--,68,54,--,--,2021-01-02
Via Sacco Pescara (PE),Accettabile,21,--,68,--,--,71,66,--,--,2021-01-01
Via Sacco Pescara (PE),Accettabile,9,--,59,--,--,77,75,--,--,2020-12-31
Via Sacco Pescara (PE),Accettabile,9,--,58,--,--,79,70,--,--,2020-12-30
Via Sacco Pescara (PE),Accettabile,17,--,42,--,--,55,54,--,--,2020-12-29
Via Sacco Pescara (PE),Buona,7,--,9,--,--,76,72,--,--,2020-12-28
Via Sacco Pescara (PE),Buona,4,--,13,--,--,76,71,--,--,2020-12-27
Via Sacco Pescara (PE),Accettabile,23,--,49,--,--,68,55,--,--,2020-12-26
Via Sacco Pescara (PE),Scadente,53,--,96,--,--,36,23,--,--,2020-12-25
Via Sacco Pescara (PE),Scadente,56,--,86,--,--,33,20,--,--,2020-12-24
Via Sacco Pescara (PE),Mediocre,50,--,72,--,--,55,32,--,--,2020-12-23
Via Sacco Pescara (PE),Scadente,57,--,59,--,--,58,40,--,--,2020-12-22
Via Sacco Pescara (PE),Scadente,60,--,72,--,--,32,20,--,--,2020-12-21
Via Sacco Pescara (PE),Mediocre,49,--,69,--,--,51,31,--,--,2020-12-20
Via Sacco Pescara (PE),Mediocre,45,--,77,--,--,48,29,--,--,2020-12-19
Via Sacco Pescara (PE),Mediocre,41,--,85,--,--,55,34,--,--,2020-12-18
Via Sacco Pescara (PE),Mediocre,41,--,86,--,--,23,17,--,--,2020-12-17
Via Sacco Pescara (PE),Accettabile,27,--,74,--,--,61,45,--,--,2020-12-16
Via Sacco Pescara (PE),Accettabile,21,--,32,--,--,61,58,--,--,2020-12-15
Via Sacco Pescara (PE),Accettabile,32,--,58,--,--,65,46,--,--,2020-12-14
Via Sacco Pescara (PE),Accettabile,30,--,73,--,--,45,34,--,--,2020-12-13
Via Sacco Pescara (PE),Accettabile,31,--,74,--,--,46,30,--,--,2020-12-12
Via Sacco Pescara (PE),Accettabile,24,--,69,--,--,41,35,--,--,2020-12-11
Via Sacco Pescara (PE),Accettabile,22,--,50,--,--,72,60,--,--,2020-12-10
Via Sacco Pescara (PE),Accettabile,16,--,73,--,--,73,70,--,--,2020-12-09
Via Sacco Pescara (PE),Accettabile,14,--,51,--,--,74,73,--,--,2020-12-08
Via Sacco Pescara (PE),Accettabile,18,--,56,--,--,76,71,--,--,2020-12-07
Via Sacco Pescara (PE),Accettabile,31,--,71,--,--,49,33,--,--,2020-12-06
Via Sacco Pescara (PE),Accettabile,18,--,42,--,--,45,37,--,--,2020-12-05
Via Sacco Pescara (PE),Accettabile,31,--,46,--,--,41,30,--,--,2020-12-04
Via Sacco Pescara (PE),Accettabile,24,--,58,--,--,58,51,--,--,2020-12-03
Via Sacco Pescara (PE),Accettabile,29,--,67,--,--,49,49,--,--,2020-12-02
Via Sacco Pescara (PE),Accettabile,35,--,28,--,--,54,50,--,--,2020-12-01
Via Sacco Pescara (PE),Scadente,55,--,66,--,--,58,40,--,--,2020-11-30
Via Sacco Pescara (PE),Mediocre,42,--,79,--,--,70,42,--,--,2020-11-29
Via Sacco Pescara (PE),Accettabile,34,--,77,--,--,61,41,--,--,2020-11-28
Via Sacco Pescara (PE),Mediocre,39,--,66,--,--,41,31,--,--,2020-11-27
Via Sacco Pescara (PE),Mediocre,36,--,63,--,--,51,32,--,--,2020-11-26
Via Sacco Pescara (PE),Accettabile,29,--,74,--,--,70,50,--,--,2020-11-25
Via Sacco Pescara (PE),Accettabile,25,--,54,--,--,73,62,--,--,2020-11-24
Via Sacco Pescara (PE),Buona,20,--,17,--,--,67,65,--,--,2020-11-23
Via Sacco Pescara (PE),Accettabile,24,--,38,--,--,61,56,--,--,2020-11-22
Via Sacco Pescara (PE),Accettabile,31,--,59,--,--,78,57,--,--,2020-11-21
Via Sacco Pescara (PE),Accettabile,17,--,65,--,--,65,55,--,--,2020-11-20
Via Sacco Pescara (PE),Buona,8,--,16,--,--,58,55,--,--,2020-11-19
Via Sacco Pescara (PE),Mediocre,37,--,49,--,--,40,23,--,--,2020-11-18
Via Sacco Pescara (PE),Mediocre,41,--,52,--,--,66,58,--,--,2020-11-17
Via Sacco Pescara (PE),Scadente,54,--,56,--,--,36,22,--,--,2020-11-16
Via Sacco Pescara (PE),Mediocre,46,--,67,--,--,79,58,--,--,2020-11-15
Via Sacco Pescara (PE),Scadente,51,--,63,--,--,66,47,--,--,2020-11-14
Via Sacco Pescara (PE),Scadente,55,--,75,--,--,77,53,--,--,2020-11-13
Via Sacco Pescara (PE),Scadente,52,--,76,--,--,81,57,--,--,2020-11-12
Via Sacco Pescara (PE),Mediocre,36,--,75,--,--,81,60,--,--,2020-11-11
Via Sacco Pescara (PE),Accettabile,28,--,70,--,--,89,69,--,--,2020-11-10
Via Sacco Pescara (PE),Accettabile,23,--,73,--,--,84,68,--,--,2020-11-09
Via Sacco Pescara (PE),Accettabile,19,--,44,--,--,56,52,--,--,2020-11-08
Via Sacco Pescara (PE),Accettabile,33,--,47,--,--,46,35,--,--,2020-11-07
Via Sacco Pescara (PE),Accettabile,34,--,56,--,--,47,37,--,--,2020-11-06
Via Sacco Pescara (PE),Accettabile,30,--,78,--,--,69,53,--,--,2020-11-05
Via Sacco Pescara (PE),Accettabile,28,--,73,--,--,70,55,--,--,2020-11-04
Via Sacco Pescara (PE),Accettabile,35,--,61,--,--,85,76,--,--,2020-11-03
Via Sacco Pescara (PE),Accettabile,30,--,70,--,--,95,78,--,--,2020-11-02
Via Sacco Pescara (PE),Accettabile,19,--,70,--,--,86,68,--,--,2020-11-01
Via Sacco Pescara (PE),Accettabile,21,--,72,--,--,75,55,--,--,2020-10-31
Via Sacco Pescara (PE),Accettabile,14,--,64,--,--,81,70,--,--,2020-10-30
Via Sacco Pescara (PE),Accettabile,12,--,48,--,--,87,73,--,--,2020-10-29
Via Sacco Pescara (PE),Accettabile,29,--,52,--,--,83,76,--,--,2020-10-28
Via Sacco Pescara (PE),Accettabile,14,--,54,--,--,80,69,--,--,2020-10-27
Via Sacco Pescara (PE),Accettabile,31,--,53,--,--,58,32,--,--,2020-10-26
Via Sacco Pescara (PE),Mediocre,40,--,85,--,--,108,90,--,--,2020-10-25
Via Sacco Pescara (PE),Accettabile,21,--,71,--,--,102,89,--,--,2020-10-24
Via Sacco Pescara (PE),Accettabile,21,--,73,--,--,101,84,--,--,2020-10-23
Via Sacco Pescara (PE),Mediocre,42,--,68,--,--,97,85,--,--,2020-10-22
Via Sacco Pescara (PE),Accettabile,15,--,77,--,--,88,74,--,--,2020-10-21
Via Sacco Pescara (PE),Accettabile,10,--,60,--,--,88,81,--,--,2020-10-20
Via Sacco Pescara (PE),Accettabile,13,--,62,--,--,82,76,--,--,2020-10-19
Via Sacco Pescara (PE),Buona,11,--,34,--,--,80,76,--,--,2020-10-18
Via Sacco Pescara (PE),Accettabile,5,--,45,--,--,84,77,--,--,2020-10-17
Via Sacco Pescara (PE),Accettabile,18,--,76,--,--,80,67,--,--,2020-10-16
Via Sacco Pescara (PE),Accettabile,9,--,60,--,--,76,68,--,--,2020-10-15
Via Sacco Pescara (PE),Buona,8,--,37,--,--,65,58,--,--,2020-10-14
Via Sacco Pescara (PE),Buona,12,--,34,--,--,76,70,--,--,2020-10-13
Via Sacco Pescara (PE),Accettabile,11,--,82,--,--,108,91,--,--,2020-10-12
Via Sacco Pescara (PE),Accettabile,12,--,70,--,--,83,72,--,--,2020-10-11
Via Sacco Pescara (PE),Accettabile,5,--,61,--,--,78,72,--,--,2020-10-10
Via Sacco Pescara (PE),Buona,4,--,28,--,--,74,67,--,--,2020-10-09
Via Sacco Pescara (PE),Accettabile,9,--,52,--,--,89,83,--,--,2020-10-08
Via Sacco Pescara (PE),Accettabile,14,--,32,--,--,98,93,--,--,2020-10-07
Via Sacco Pescara (PE),Accettabile,n.d.,--,36,--,--,95,90,--,--,2020-10-06
Via Sacco Pescara (PE),Accettabile,33,--,62,--,--,112,91,--,--,2020-10-05
Via Sacco Pescara (PE),Accettabile,27,--,83,--,--,103,84,--,--,2020-10-04
Via Sacco Pescara (PE),Accettabile,14,--,48,--,--,116,109,--,--,2020-10-03
Via Sacco Pescara (PE),Accettabile,14,--,77,--,--,114,103,--,--,2020-10-02
Via Sacco Pescara (PE),Accettabile,12,--,88,--,--,98,88,--,--,2020-10-01
Via Sacco Pescara (PE),Accettabile,3,--,56,--,--,84,68,--,--,2020-09-30
Via Sacco Pescara (PE),Buona,5,--,25,--,--,72,64,--,--,2020-09-29
Via Sacco Pescara (PE),Accettabile,4,--,37,--,--,84,81,--,--,2020-09-28
Via Sacco Pescara (PE),Accettabile,9,--,19,--,--,97,87,--,--,2020-09-27
Via Sacco Pescara (PE),Accettabile,11,--,48,--,--,105,98,--,--,2020-09-26
Via Sacco Pescara (PE),Accettabile,14,--,40,--,--,93,84,--,--,2020-09-25
Via Sacco Pescara (PE),Accettabile,14,--,33,--,--,111,98,--,--,2020-09-24
Via Sacco Pescara (PE),Accettabile,18,--,31,--,--,101,94,--,--,2020-09-23
Via Sacco Pescara (PE),Accettabile,21,--,40,--,--,107,102,--,--,2020-09-22
Via Sacco Pescara (PE),Accettabile,22,--,58,--,--,100,97,--,--,2020-09-21
Via Sacco Pescara (PE),Accettabile,29,--,53,--,--,101,94,--,--,2020-09-20
Via Sacco Pescara (PE),Mediocre,35,--,44,--,--,142,129,--,--,2020-09-19
Via Sacco Pescara (PE),Mediocre,31,--,54,--,--,131,125,--,--,2020-09-18
Via Sacco Pescara (PE),Accettabile,31,--,65,--,--,116,108,--,--,2020-09-17
Via Sacco Pescara (PE),Mediocre,29,--,54,--,--,124,117,--,--,2020-09-16
Via Sacco Pescara (PE),Mediocre,29,--,46,--,--,131,126,--,--,2020-09-15
Via Sacco Pescara (PE),Mediocre,25,--,41,--,--,123,120,--,--,2020-09-14
Via Sacco Pescara (PE),Accettabile,20,--,45,--,--,117,115,--,--,2020-09-13
Via Sacco Pescara (PE),Accettabile,20,--,47,--,--,111,105,--,--,2020-09-12
Via Sacco Pescara (PE),Accettabile,19,--,57,--,--,109,107,--,--,2020-09-11
Via Sacco Pescara (PE),Accettabile,19,--,42,--,--,103,97,--,--,2020-09-10
Via Sacco Pescara (PE),Accettabile,16,--,43,--,--,98,92,--,--,2020-09-09
Via Sacco Pescara (PE),Accettabile,12,--,48,--,--,111,106,--,--,2020-09-08
Via Sacco Pescara (PE),Accettabile,13,--,58,--,--,114,111,--,--,2020-09-07
Via Sacco Pescara (PE),Accettabile,12,--,55,--,--,112,108,--,--,2020-09-06
Via Sacco Pescara (PE),Accettabile,8,--,33,--,--,103,99,--,--,2020-09-05
Via Sacco Pescara (PE),Accettabile,7,--,33,--,--,103,98,--,--,2020-09-04
Via Sacco Pescara (PE),Accettabile,7,--,63,--,--,106,101,--,--,2020-09-03
Via Sacco Pescara (PE),Buona,14,--,38,--,--,79,71,--,--,2020-09-02
Via Sacco Pescara (PE),Accettabile,33,--,41,--,--,110,103,--,--,2020-09-01
Via Sacco Pescara (PE),Accettabile,20,--,39,--,--,112,100,--,--,2020-08-31
Via Sacco Pescara (PE),Accettabile,19,--,47,--,--,105,99,--,--,2020-08-30
Via Sacco Pescara (PE),Accettabile,16,--,50,--,--,114,100,--,--,2020-08-29
Via Sacco Pescara (PE),Accettabile,16,--,53,--,--,105,100,--,--,2020-08-28
Via Sacco Pescara (PE),Accettabile,11,--,53,--,--,98,95,--,--,2020-08-27
Via Sacco Pescara (PE),Accettabile,14,--,32,--,--,96,88,--,--,2020-08-26
Via Sacco Pescara (PE),Accettabile,18,--,48,--,--,108,106,--,--,2020-08-25
Via Sacco Pescara (PE),Mediocre,19,--,61,--,--,129,119,--,--,2020-08-24
Via Sacco Pescara (PE),Accettabile,14,--,47,--,--,110,104,--,--,2020-08-23
Via Sacco Pescara (PE),Accettabile,10,--,49,--,--,110,106,--,--,2020-08-22
Via Sacco Pescara (PE),Accettabile,13,--,43,--,--,118,110,--,--,2020-08-21
Via Sacco Pescara (PE),Accettabile,20,--,32,--,--,108,103,--,--,2020-08-20
Via Sacco Pescara (PE),Accettabile,18,--,35,--,--,113,100,--,--,2020-08-19
Via Sacco Pescara (PE),Accettabile,15,--,43,--,--,107,103,--,--,2020-08-18
Via Sacco Pescara (PE),Accettabile,20,--,27,--,--,112,105,--,--,2020-08-17
Via Sacco Pescara (PE),Accettabile,23,--,50,--,--,107,98,--,--,2020-08-16
Via Sacco Pescara (PE),Mediocre,25,--,66,--,--,138,124,--,--,2020-08-15
Via Sacco Pescara (PE),Mediocre,25,--,52,--,--,136,127,--,--,2020-08-14
Via Sacco Pescara (PE),Mediocre,23,--,81,--,--,126,120,--,--,2020-08-13
Via Sacco Pescara (PE),Mediocre,22,--,56,--,--,131,124,--,--,2020-08-12
Via Sacco Pescara (PE),Mediocre,20,--,46,--,--,121,118,--,--,2020-08-11
Via Sacco Pescara (PE),Mediocre,21,--,37,--,--,130,124,--,--,2020-08-10
Via Sacco Pescara (PE),Accettabile,15,--,17,--,--,118,113,--,--,2020-08-09
Via Sacco Pescara (PE),Accettabile,12,--,11,--,--,102,96,--,--,2020-08-08
Via Sacco Pescara (PE),Accettabile,5,--,21,--,--,95,84,--,--,2020-08-07
Via Sacco Pescara (PE),Accettabile,17,--,23,--,--,107,95,--,--,2020-08-06
Via Sacco Pescara (PE),Accettabile,19,--,44,--,--,115,101,--,--,2020-08-05
Via Sacco Pescara (PE),Accettabile,21,--,49,--,--,117,105,--,--,2020-08-04
Via Sacco Pescara (PE),Mediocre,29,--,59,--,--,150,145,--,--,2020-08-03
Via Sacco Pescara (PE),Mediocre,25,--,51,--,--,128,120,--,--,2020-08-02
Via Sacco Pescara (PE),Mediocre,23,--,48,--,--,144,133,--,--,2020-08-01
Via Sacco Pescara (PE),Mediocre,20,--,52,--,--,137,129,--,--,2020-07-31
Via Sacco Pescara (PE),Mediocre,16,--,58,--,--,132,125,--,--,2020-07-30
Via Sacco Pescara (PE),Mediocre,13,--,58,--,--,126,120,--,--,2020-07-29
Via Sacco Pescara (PE),Mediocre,12,--,55,--,--,122,119,--,--,2020-07-28
Via Sacco Pescara (PE),Accettabile,9,--,29,--,--,116,112,--,--,2020-07-27
Via Sacco Pescara (PE),Accettabile,19,--,35,--,--,118,110,--,--,2020-07-26
Via Sacco Pescara (PE),Mediocre,22,--,39,--,--,122,117,--,--,2020-07-25
Via Sacco Pescara (PE),Mediocre,19,--,41,--,--,135,130,--,--,2020-07-24
Via Sacco Pescara (PE),Mediocre,15,--,64,--,--,135,128,--,--,2020-07-23
Via Sacco Pescara (PE),Accettabile,10,--,76,--,--,113,109,--,--,2020-07-22
Via Sacco Pescara (PE),Accettabile,7,--,57,--,--,108,99,--,--,2020-07-21
Via Sacco Pescara (PE),Accettabile,8,--,24,--,--,100,95,--,--,2020-07-20
Via Sacco Pescara (PE),Accettabile,13,--,41,--,--,109,92,--,--,2020-07-19
Via Sacco Pescara (PE),Accettabile,18,--,52,--,--,118,114,--,--,2020-07-18
Via Sacco Pescara (PE),Accettabile,14,--,43,--,--,119,115,--,--,2020-07-17
