Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Via Sacco Pescara (PE),Accettabile,31,--,61,--,--,51,31,--,--,2022-11-27
Via Sacco Pescara (PE),Accettabile,30,--,56,--,--,50,30,--,--,2022-11-26
Via Sacco Pescara (PE),Accettabile,14,--,58,--,--,61,61,--,--,2022-11-25
Via Sacco Pescara (PE),Accettabile,9,--,44,--,--,67,59,--,--,2022-11-24
Via Sacco Pescara (PE),Accettabile,16,--,50,--,--,59,54,--,--,2022-11-23
Via Sacco Pescara (PE),Buona,10,--,20,--,--,59,53,--,--,2022-11-22
Via Sacco Pescara (PE),Accettabile,27,--,38,--,--,38,25,--,--,2022-11-21
Via Sacco Pescara (PE),Accettabile,30,--,50,--,--,60,38,--,--,2022-11-20
Via Sacco Pescara (PE),Accettabile,27,--,40,--,--,50,41,--,--,2022-11-19
Via Sacco Pescara (PE),Accettabile,30,--,56,--,--,42,23,--,--,2022-11-18
Via Sacco Pescara (PE),Accettabile,29,--,46,--,--,56,38,--,--,2022-11-17
Via Sacco Pescara (PE),Accettabile,23,--,42,--,--,45,19,--,--,2022-11-16
Via Sacco Pescara (PE),Accettabile,21,--,33,--,--,56,42,--,--,2022-11-15
Via Sacco Pescara (PE),Accettabile,25,--,33,--,--,55,51,--,--,2022-11-14
Via Sacco Pescara (PE),Accettabile,24,--,43,--,--,63,56,--,--,2022-11-13
Via Sacco Pescara (PE),Accettabile,30,--,72,--,--,80,57,--,--,2022-11-12
Via Sacco Pescara (PE),Accettabile,32,--,67,--,--,76,50,--,--,2022-11-11
Via Sacco Pescara (PE),Accettabile,21,--,64,--,--,68,51,--,--,2022-11-10
Via Sacco Pescara (PE),Accettabile,16,--,66,--,--,76,56,--,--,2022-11-09
Via Sacco Pescara (PE),Accettabile,12,--,41,--,--,68,65,--,--,2022-11-08
Via Sacco Pescara (PE),Buona,10,--,14,--,--,67,66,--,--,2022-11-07
Via Sacco Pescara (PE),Accettabile,23,--,55,--,--,69,55,--,--,2022-11-06
Via Sacco Pescara (PE),Mediocre,37,--,70,--,--,85,69,--,--,2022-11-05
Via Sacco Pescara (PE),Accettabile,31,--,65,--,--,73,61,--,--,2022-11-04
Via Sacco Pescara (PE),Accettabile,29,--,61,--,--,91,71,--,--,2022-11-03
Via Sacco Pescara (PE),Accettabile,28,--,75,--,--,97,74,--,--,2022-11-02
Via Sacco Pescara (PE),Accettabile,27,--,72,--,--,105,89,--,--,2022-11-01
Via Sacco Pescara (PE),Mediocre,38,--,60,--,--,98,79,--,--,2022-10-31
Via Sacco Pescara (PE),Mediocre,42,--,67,--,--,91,76,--,--,2022-10-30
Via Sacco Pescara (PE),Mediocre,48,--,58,--,--,76,64,--,--,2022-10-29
Via Sacco Pescara (PE),Scadente,88,--,65,--,--,80,59,--,--,2022-10-28
Via Sacco Pescara (PE),Accettabile,33,--,50,--,--,63,42,--,--,2022-10-27
Via Sacco Pescara (PE),Accettabile,31,--,50,--,--,68,60,--,--,2022-10-26
Via Sacco Pescara (PE),Accettabile,30,--,52,--,--,80,71,--,--,2022-10-25
Via Sacco Pescara (PE),Accettabile,28,--,55,--,--,77,66,--,--,2022-10-24
Via Sacco Pescara (PE),Accettabile,25,--,73,--,--,76,63,--,--,2022-10-23
Via Sacco Pescara (PE),Accettabile,21,--,70,--,--,85,72,--,--,2022-10-22
Via Sacco Pescara (PE),Accettabile,34,--,68,--,--,105,92,--,--,2022-10-21
Via Sacco Pescara (PE),Accettabile,23,--,67,--,--,98,82,--,--,2022-10-20
Via Sacco Pescara (PE),Accettabile,24,--,75,--,--,89,77,--,--,2022-10-19
Via Sacco Pescara (PE),Accettabile,22,--,53,--,--,90,81,--,--,2022-10-18
Via Sacco Pescara (PE),Accettabile,26,--,56,--,--,98,85,--,--,2022-10-17
Via Sacco Pescara (PE),Accettabile,25,--,62,--,--,93,80,--,--,2022-10-16
Via Sacco Pescara (PE),Accettabile,24,--,53,--,--,69,60,--,--,2022-10-15
Via Sacco Pescara (PE),Accettabile,23,--,57,--,--,89,83,--,--,2022-10-14
Via Sacco Pescara (PE),Accettabile,19,--,49,--,--,82,69,--,--,2022-10-13
Via Sacco Pescara (PE),Accettabile,20,--,58,--,--,96,88,--,--,2022-10-12
Via Sacco Pescara (PE),Accettabile,19,--,56,--,--,100,90,--,--,2022-10-11
Via Sacco Pescara (PE),Accettabile,24,--,65,--,--,111,101,--,--,2022-10-10
Via Sacco Pescara (PE),Accettabile,24,--,78,--,--,106,101,--,--,2022-10-09
Via Sacco Pescara (PE),Accettabile,15,--,71,--,--,90,80,--,--,2022-10-08
Via Sacco Pescara (PE),Accettabile,13,--,51,--,--,87,81,--,--,2022-10-07
Via Sacco Pescara (PE),Accettabile,10,--,52,--,--,81,77,--,--,2022-10-06
Via Sacco Pescara (PE),Accettabile,12,--,60,--,--,82,72,--,--,2022-10-05
Via Sacco Pescara (PE),Accettabile,7,--,37,--,--,89,82,--,--,2022-10-04
Via Sacco Pescara (PE),Accettabile,11,--,52,--,--,79,72,--,--,2022-10-03
Via Sacco Pescara (PE),Accettabile,10,--,53,--,--,95,87,--,--,2022-10-02
Via Sacco Pescara (PE),Buona,7,--,32,--,--,74,69,--,--,2022-10-01
Via Sacco Pescara (PE),Accettabile,16,--,48,--,--,84,79,--,--,2022-09-30
Via Sacco Pescara (PE),Accettabile,12,--,29,--,--,82,77,--,--,2022-09-29
Via Sacco Pescara (PE),Accettabile,19,--,53,--,--,51,34,--,--,2022-09-28
Via Sacco Pescara (PE),Accettabile,13,--,50,--,--,78,70,--,--,2022-09-27
Via Sacco Pescara (PE),Accettabile,15,--,36,--,--,105,100,--,--,2022-09-26
Via Sacco Pescara (PE),Accettabile,7,--,73,--,--,90,84,--,--,2022-09-25
Via Sacco Pescara (PE),Accettabile,8,--,30,--,--,81,78,--,--,2022-09-24
Via Sacco Pescara (PE),Accettabile,6,--,47,--,--,76,71,--,--,2022-09-23
Via Sacco Pescara (PE),Accettabile,7,--,68,--,--,90,81,--,--,2022-09-22
Via Sacco Pescara (PE),Accettabile,11,--,71,--,--,99,92,--,--,2022-09-21
Via Sacco Pescara (PE),Accettabile,2,--,46,--,--,86,83,--,--,2022-09-20
Via Sacco Pescara (PE),Accettabile,7,--,9,--,--,91,88,--,--,2022-09-19
Via Sacco Pescara (PE),Accettabile,21,--,36,--,--,91,77,--,--,2022-09-18
Via Sacco Pescara (PE),Accettabile,31,--,32,--,--,80,69,--,--,2022-09-17
Via Sacco Pescara (PE),Accettabile,20,--,53,--,--,119,110,--,--,2022-09-16
Via Sacco Pescara (PE),Accettabile,13,--,64,--,--,103,96,--,--,2022-09-15
Via Sacco Pescara (PE),Accettabile,8,--,47,--,--,94,90,--,--,2022-09-14
Via Sacco Pescara (PE),Accettabile,8,--,26,--,--,104,97,--,--,2022-09-13
Via Sacco Pescara (PE),Accettabile,11,--,39,--,--,95,92,--,--,2022-09-12
Via Sacco Pescara (PE),Buona,16,--,33,--,--,79,74,--,--,2022-09-11
Via Sacco Pescara (PE),Accettabile,24,--,43,--,--,80,65,--,--,2022-09-10
Via Sacco Pescara (PE),Accettabile,16,--,39,--,--,117,103,--,--,2022-09-09
Via Sacco Pescara (PE),Accettabile,15,--,61,--,--,108,101,--,--,2022-09-08
Via Sacco Pescara (PE),Accettabile,12,--,49,--,--,107,101,--,--,2022-09-07
Via Sacco Pescara (PE),Accettabile,11,--,19,--,--,89,81,--,--,2022-09-06
Via Sacco Pescara (PE),Accettabile,13,--,39,--,--,99,97,--,--,2022-09-05
Via Sacco Pescara (PE),Accettabile,8,--,56,--,--,94,91,--,--,2022-09-04
Via Sacco Pescara (PE),Accettabile,7,--,29,--,--,84,70,--,--,2022-09-03
Via Sacco Pescara (PE),Accettabile,14,--,38,--,--,110,102,--,--,2022-09-02
Via Sacco Pescara (PE),Accettabile,15,--,52,--,--,120,110,--,--,2022-09-01
Via Sacco Pescara (PE),Accettabile,12,--,51,--,--,109,106,--,--,2022-08-31
Via Sacco Pescara (PE),Accettabile,14,--,31,--,--,114,111,--,--,2022-08-30
Via Sacco Pescara (PE),Accettabile,17,--,28,--,--,117,105,--,--,2022-08-29
Via Sacco Pescara (PE),Accettabile,18,--,43,--,--,114,111,--,--,2022-08-28
Via Sacco Pescara (PE),Accettabile,14,--,30,--,--,112,109,--,--,2022-08-27
Via Sacco Pescara (PE),Accettabile,n.d.,--,29,--,--,92,90,--,--,2022-08-26
Via Sacco Pescara (PE),Accettabile,11,--,32,--,--,94,88,--,--,2022-08-25
Via Sacco Pescara (PE),Accettabile,5,--,35,--,--,100,96,--,--,2022-08-24
Via Sacco Pescara (PE),Accettabile,9,--,46,--,--,113,108,--,--,2022-08-23
Via Sacco Pescara (PE),Mediocre,11,--,34,--,--,135,124,--,--,2022-08-22
Via Sacco Pescara (PE),Accettabile,31,--,21,--,--,104,93,--,--,2022-08-21
Via Sacco Pescara (PE),Accettabile,29,--,32,--,--,97,95,--,--,2022-08-20
Via Sacco Pescara (PE),Accettabile,22,--,39,--,--,97,93,--,--,2022-08-19
Via Sacco Pescara (PE),Accettabile,20,--,27,--,--,105,100,--,--,2022-08-18
Via Sacco Pescara (PE),Accettabile,15,--,39,--,--,120,116,--,--,2022-08-17
Via Sacco Pescara (PE),Accettabile,11,--,33,--,--,115,112,--,--,2022-08-16
Via Sacco Pescara (PE),Mediocre,11,--,42,--,--,129,114,--,--,2022-08-15
Via Sacco Pescara (PE),Accettabile,n.d.,--,32,--,--,104,94,--,--,2022-08-14
Via Sacco Pescara (PE),Accettabile,14,--,32,--,--,111,107,--,--,2022-08-13
Via Sacco Pescara (PE),Accettabile,13,--,28,--,--,116,111,--,--,2022-08-12
Via Sacco Pescara (PE),Accettabile,12,--,22,--,--,109,106,--,--,2022-08-11
Via Sacco Pescara (PE),Accettabile,17,--,38,--,--,112,107,--,--,2022-08-10
Via Sacco Pescara (PE),Accettabile,14,--,23,--,--,116,114,--,--,2022-08-09
Via Sacco Pescara (PE),Mediocre,17,--,34,--,--,127,117,--,--,2022-08-08
Via Sacco Pescara (PE),Accettabile,21,--,47,--,--,119,113,--,--,2022-08-07
Via Sacco Pescara (PE),Accettabile,21,--,61,--,--,112,110,--,--,2022-08-06
Via Sacco Pescara (PE),Accettabile,18,--,60,--,--,109,101,--,--,2022-08-05
Via Sacco Pescara (PE),Accettabile,16,--,30,--,--,112,102,--,--,2022-08-04
Via Sacco Pescara (PE),Accettabile,9,--,66,--,--,117,113,--,--,2022-08-03
Via Sacco Pescara (PE),Accettabile,9,--,40,--,--,112,109,--,--,2022-08-02
Via Sacco Pescara (PE),Accettabile,21,--,34,--,--,102,90,--,--,2022-08-01
Via Sacco Pescara (PE),Accettabile,20,--,41,--,--,108,102,--,--,2022-07-31
Via Sacco Pescara (PE),Accettabile,19,--,43,--,--,109,105,--,--,2022-07-30
Via Sacco Pescara (PE),Accettabile,23,--,43,--,--,108,86,--,--,2022-07-29
Via Sacco Pescara (PE),Mediocre,29,--,59,--,--,131,119,--,--,2022-07-28
Via Sacco Pescara (PE),Mediocre,23,--,51,--,--,131,125,--,--,2022-07-27
Via Sacco Pescara (PE),Mediocre,25,--,69,--,--,125,121,--,--,2022-07-26
Via Sacco Pescara (PE),Mediocre,29,--,54,--,--,137,122,--,--,2022-07-25
Via Sacco Pescara (PE),Mediocre,25,--,72,--,--,135,115,--,--,2022-07-24
Via Sacco Pescara (PE),Mediocre,20,--,52,--,--,131,118,--,--,2022-07-23
Via Sacco Pescara (PE),Mediocre,14,--,61,--,--,122,118,--,--,2022-07-22
Via Sacco Pescara (PE),Mediocre,15,--,66,--,--,122,115,--,--,2022-07-21
Via Sacco Pescara (PE),Accettabile,19,--,46,--,--,112,108,--,--,2022-07-20
Via Sacco Pescara (PE),Mediocre,22,--,31,--,--,128,124,--,--,2022-07-19
Via Sacco Pescara (PE),Mediocre,18,--,55,--,--,128,115,--,--,2022-07-18
Via Sacco Pescara (PE),Accettabile,16,--,51,--,--,118,108,--,--,2022-07-17
Via Sacco Pescara (PE),Accettabile,14,--,57,--,--,116,110,--,--,2022-07-16
Via Sacco Pescara (PE),Accettabile,13,--,58,--,--,102,97,--,--,2022-07-15
Via Sacco Pescara (PE),Accettabile,15,--,38,--,--,96,91,--,--,2022-07-14
Via Sacco Pescara (PE),Accettabile,12,--,29,--,--,99,98,--,--,2022-07-13
Via Sacco Pescara (PE),Accettabile,11,--,46,--,--,97,94,--,--,2022-07-12
Via Sacco Pescara (PE),Accettabile,12,--,24,--,--,87,83,--,--,2022-07-11
Via Sacco Pescara (PE),Accettabile,5,--,21,--,--,108,87,--,--,2022-07-10
Via Sacco Pescara (PE),Accettabile,14,--,24,--,--,116,109,--,--,2022-07-09
Via Sacco Pescara (PE),Accettabile,14,--,32,--,--,110,106,--,--,2022-07-08
Via Sacco Pescara (PE),Accettabile,26,--,n.d.,--,--,n.d.,n.d.,--,--,2022-07-07
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-07-06
Via Sacco Pescara (PE),Mediocre,26,--,39,--,--,121,116,--,--,2022-07-05
Via Sacco Pescara (PE),Mediocre,40,--,25,--,--,104,91,--,--,2022-07-04
Via Sacco Pescara (PE),Mediocre,48,--,26,--,--,94,83,--,--,2022-07-03
Via Sacco Pescara (PE),Accettabile,35,--,30,--,--,106,99,--,--,2022-07-02
Via Sacco Pescara (PE),Mediocre,37,--,28,--,--,97,89,--,--,2022-07-01
Via Sacco Pescara (PE),Accettabile,34,--,39,--,--,101,85,--,--,2022-06-30
Via Sacco Pescara (PE),Accettabile,30,--,36,--,--,99,90,--,--,2022-06-29
Via Sacco Pescara (PE),Accettabile,28,--,33,--,--,95,90,--,--,2022-06-28
Via Sacco Pescara (PE),Accettabile,30,--,49,--,--,89,86,--,--,2022-06-27
Via Sacco Pescara (PE),Scadente,54,--,n.d.,--,--,104,90,--,--,2022-06-26
Via Sacco Pescara (PE),Mediocre,43,--,43,--,--,116,105,--,--,2022-06-25
Via Sacco Pescara (PE),Accettabile,30,--,48,--,--,120,107,--,--,2022-06-24
Via Sacco Pescara (PE),Accettabile,24,--,56,--,--,115,112,--,--,2022-06-23
Via Sacco Pescara (PE),Mediocre,18,--,42,--,--,121,117,--,--,2022-06-22
Via Sacco Pescara (PE),Accettabile,13,--,31,--,--,113,111,--,--,2022-06-21
Via Sacco Pescara (PE),Accettabile,15,--,47,--,--,117,114,--,--,2022-06-20
Via Sacco Pescara (PE),Accettabile,17,--,37,--,--,118,111,--,--,2022-06-19
Via Sacco Pescara (PE),Mediocre,18,--,43,--,--,121,118,--,--,2022-06-18
Via Sacco Pescara (PE),Accettabile,17,--,40,--,--,112,109,--,--,2022-06-17
Via Sacco Pescara (PE),Accettabile,18,--,52,--,--,114,110,--,--,2022-06-16
Via Sacco Pescara (PE),Mediocre,14,--,67,--,--,127,119,--,--,2022-06-15
Via Sacco Pescara (PE),Mediocre,13,--,38,--,--,124,119,--,--,2022-06-14
Via Sacco Pescara (PE),Accettabile,13,--,31,--,--,105,100,--,--,2022-06-13
Via Sacco Pescara (PE),Accettabile,9,--,12,--,--,82,78,--,--,2022-06-12
Via Sacco Pescara (PE),Accettabile,8,--,27,--,--,89,74,--,--,2022-06-11
Via Sacco Pescara (PE),Accettabile,12,--,40,--,--,116,110,--,--,2022-06-10
Via Sacco Pescara (PE),Mediocre,18,--,33,--,--,127,117,--,--,2022-06-09
Via Sacco Pescara (PE),Accettabile,27,--,45,--,--,120,112,--,--,2022-06-08
Via Sacco Pescara (PE),Accettabile,25,--,38,--,--,82,78,--,--,2022-06-07
Via Sacco Pescara (PE),Accettabile,25,--,39,--,--,108,101,--,--,2022-06-06
Via Sacco Pescara (PE),Accettabile,26,--,39,--,--,104,98,--,--,2022-06-05
Via Sacco Pescara (PE),Accettabile,26,--,31,--,--,110,103,--,--,2022-06-04
Via Sacco Pescara (PE),Accettabile,27,--,37,--,--,94,87,--,--,2022-06-03
Via Sacco Pescara (PE),Accettabile,20,--,33,--,--,90,88,--,--,2022-06-02
Via Sacco Pescara (PE),Accettabile,15,--,25,--,--,94,89,--,--,2022-06-01
Via Sacco Pescara (PE),Accettabile,13,--,26,--,--,89,88,--,--,2022-05-31
Via Sacco Pescara (PE),Accettabile,22,--,44,--,--,100,95,--,--,2022-05-30
Via Sacco Pescara (PE),Accettabile,24,--,56,--,--,99,93,--,--,2022-05-29
Via Sacco Pescara (PE),Accettabile,29,--,32,--,--,93,86,--,--,2022-05-28
Via Sacco Pescara (PE),Accettabile,34,--,28,--,--,113,100,--,--,2022-05-27
Via Sacco Pescara (PE),Accettabile,33,--,34,--,--,113,102,--,--,2022-05-26
Via Sacco Pescara (PE),Mediocre,26,--,41,--,--,123,105,--,--,2022-05-25
Via Sacco Pescara (PE),Accettabile,23,--,58,--,--,117,113,--,--,2022-05-24
Via Sacco Pescara (PE),Mediocre,25,--,54,--,--,140,130,--,--,2022-05-23
Via Sacco Pescara (PE),Mediocre,18,--,84,--,--,123,116,--,--,2022-05-22
Via Sacco Pescara (PE),Accettabile,17,--,48,--,--,115,112,--,--,2022-05-21
Via Sacco Pescara (PE),Accettabile,16,--,53,--,--,112,108,--,--,2022-05-20
Via Sacco Pescara (PE),Mediocre,22,--,36,--,--,126,118,--,--,2022-05-19
Via Sacco Pescara (PE),Accettabile,24,--,43,--,--,117,109,--,--,2022-05-18
Via Sacco Pescara (PE),Mediocre,20,--,58,--,--,134,127,--,--,2022-05-17
Via Sacco Pescara (PE),Mediocre,19,--,52,--,--,131,127,--,--,2022-05-16
Via Sacco Pescara (PE),Accettabile,15,--,67,--,--,119,113,--,--,2022-05-15
Via Sacco Pescara (PE),Accettabile,n.d.,--,60,--,--,119,115,--,--,2022-05-14
Via Sacco Pescara (PE),Mediocre,n.d.,--,74,--,--,124,118,--,--,2022-05-13
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-12
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-11
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-10
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-09
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-08
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-07
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-06
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-05
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-04
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-03
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-02
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-05-01
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-30
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-29
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-28
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-27
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-26
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-25
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-24
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-23
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-22
Via Sacco Pescara (PE),n.d.,n.d.,--,n.d.,--,--,n.d.,n.d.,--,--,2022-04-21
Via Sacco Pescara (PE),Accettabile,n.d.,--,31,--,--,109,106,--,--,2022-04-20
Via Sacco Pescara (PE),Accettabile,n.d.,--,12,--,--,92,90,--,--,2022-04-19
Via Sacco Pescara (PE),Accettabile,n.d.,--,31,--,--,110,104,--,--,2022-04-18
Via Sacco Pescara (PE),Accettabile,n.d.,--,75,--,--,115,110,--,--,2022-04-17
